id	filename	md5	size	state
f1b47436-bc2a-48b3-8104-7e8850b14a38	c16be72d-0760-41dc-b828-dbe5d0b46ac3.wxs.aliquot_ensemble_masked.maf.gz	e985bee728b496341d510ac21669bb3a	143755	released
ac0f3bd9-7c40-4b29-a8e0-4bae752e1d8d	6263a081-0c9d-4be0-8650-856d77e6852b.wxs.aliquot_ensemble_masked.maf.gz	62fb39c4d308c5d6e3e1a6a4631a041f	69852	released
1e372b7b-b232-488a-8dd6-6c2aab1774bc	0380abd6-c0f5-4b26-b454-e58da88ad080.wxs.aliquot_ensemble_masked.maf.gz	928966963172fabef65261c326cc636f	551223	released
068ba989-5700-4590-b6f8-40afb81204f9	cde3c357-75fe-4f83-a1e8-a55c0dad563d.wxs.aliquot_ensemble_masked.maf.gz	6c91a7271dcfada6484ce77b216c95d8	137494	released
0c60958f-7fc2-47c7-8d82-bbced14ba408	ca3c30ca-e0ed-4af4-9aa3-34fc030e2163.wxs.aliquot_ensemble_masked.maf.gz	96abf974e6996d05d6d4303bda6e3f0e	92264	released
54c5381a-d255-46d4-b584-0c0c997f208b	6af4d7fc-9263-48c1-b488-00ee0a15855a.wxs.aliquot_ensemble_masked.maf.gz	6986d9ced5dbd04cdaad60fc18bdcfb8	212875	released
9be307ef-18b4-460c-8286-026cc90d9404	2f24b973-024d-40a3-ab44-795580a13aa2.wxs.aliquot_ensemble_masked.maf.gz	518b625d5af1a9735195ed3caf64d58c	42494	released
14e80aeb-e847-4dd9-9362-f63fdb49be0f	8628980b-73e2-4de1-9574-5f87809fe24d.wxs.aliquot_ensemble_masked.maf.gz	9d31fd175f9ec6aa6655f0506fc6a222	23477	released
dfe24dac-9f02-43f4-8234-319a40888e96	93fc797c-8641-45c0-b4db-a875c5ecf1d8.wxs.aliquot_ensemble_masked.maf.gz	b5b9c8450d299979767b0b82025a4044	193395	released
02968475-9790-4408-92c1-54877d8b17c0	890a3079-b429-4e66-bf39-9cd20247fc1a.wxs.aliquot_ensemble_masked.maf.gz	adf07901917f641794daaa0ca093a7d5	13335	released
d92e9cff-f2d4-49f6-a94a-ba8d8b5c1408	5683c5ee-837b-4129-b465-21d393a7f19d.wxs.aliquot_ensemble_masked.maf.gz	f14a736b9aeb6267efa9e14a1f7a82fb	157330	released
df3f3eb0-e8c3-4d12-9a10-435efac6eb68	633e735b-22fd-47c5-ad45-8956c932ad44.wxs.aliquot_ensemble_masked.maf.gz	c2975428e5b3d2e7a4c274b2d35cf330	70708	released
ff51cf62-4c7c-4dc1-b527-c1fbe9d4ec89	311f12da-2090-4443-8662-53ede0d838bb.wxs.aliquot_ensemble_masked.maf.gz	0bdce08bac22e855f5df5792e242b0a4	17290	released
c75391f1-aeb2-4ed9-91ea-3e9a4cd8e42a	be741107-90f4-4d24-855a-ab5ad59276c5.wxs.aliquot_ensemble_masked.maf.gz	7fd0a62b29ee3d7a180938a21d79a8ae	13447	released
c4976371-c49d-4539-baea-e4cc0433848f	b0133b28-8184-41ca-abda-83a8afb1b84b.wxs.aliquot_ensemble_masked.maf.gz	fb95f536fca1b122080913a8d7fab439	65937	released
98f4cf69-4d09-4c5f-93a2-578777d47faa	0305b3b5-f091-4afa-9347-fc46aa9a9738.wxs.aliquot_ensemble_masked.maf.gz	776aa7504075df7d09919b99f945f1eb	41913	released
9ee3ebc8-5688-4f32-ab39-78a39835fd1b	2c469377-8e9b-4479-a449-1f5935909015.wxs.aliquot_ensemble_masked.maf.gz	6296d0f4848bddd841eea9f365aed7e3	1251859	released
1dd2eb4a-a2e1-4137-a586-0a9121cc5e3d	b5fb4b84-e4a4-4800-98e6-fa4b375e2c27.wxs.aliquot_ensemble_masked.maf.gz	6c703a29997bbd81ddb939cef203364f	2154525	released
4598efaf-e57f-42a6-bc40-5559c80387e6	6e7ae545-8168-46e3-8b7f-811ad4be554b.wxs.aliquot_ensemble_masked.maf.gz	e3ee3227b9b5e41ae706ead53b2021fe	87978	released
edd361e4-c5f5-44c5-9342-fa43dbf02bcc	83887fdf-fd38-48d9-a5cb-8fb29e7fe2ad.wxs.aliquot_ensemble_masked.maf.gz	1ac9dcc51c0a03408c13dac7a69a8c23	7553	released
6d3f5e6a-bda2-4b03-8f0a-be1f8a624e88	8af0eeec-a19c-461e-9915-50d31f573688.wxs.aliquot_ensemble_masked.maf.gz	a597859a3a42d8dd87be6d5d1a9ceafd	81306	released
f1c699f1-ec03-491e-98a9-60cfa48c0f86	43b3c51e-1288-469c-b882-d8f2e729d600.wxs.aliquot_ensemble_masked.maf.gz	6869e2cf5e0e750c72d725daece2b74a	32790	released
9bf9c6b2-3419-4e8a-a6d7-451cdef1bf55	085aa1f0-7e90-45aa-8be9-516ee4788454.wxs.aliquot_ensemble_masked.maf.gz	dca7d65207ad79c5ae42afa75291a00f	48557	released
e739c528-13a0-4dab-a2d8-ab92d74cb224	aca28098-2b7b-4a37-b3f6-cd7aaf89273c.wxs.aliquot_ensemble_masked.maf.gz	1aba2e818a35f330e5eb9f3cc2ad1f96	26060	released
0e8e8b90-280a-41c7-baa2-864739e67327	24b3f2a9-c617-4a2b-8ab4-89c454e6609a.wxs.aliquot_ensemble_masked.maf.gz	cc742ce8d828b1413fb93396b157fd9d	64608	released
c0c0b22a-b080-4024-983b-58a8d4cdecee	8b97b1d8-512b-478c-ae98-76d5520c862a.wxs.aliquot_ensemble_masked.maf.gz	b37da10b0e0cdee6140fa6e8628b0158	123240	released
c14aec7c-ff43-4628-9e9b-cf6f32c9c2a9	e6b675d9-3e28-4c27-84ab-3d73b77b8bb6.wxs.aliquot_ensemble_masked.maf.gz	5d9471af07b7280bbd7b0ca23e5ab079	123972	released
208c6aca-f666-4bb2-8f2d-67c375e84c9d	3a4ff3f6-6d5c-48ba-9133-c183757de9c0.wxs.aliquot_ensemble_masked.maf.gz	9554f33b8f464418b3c179c84de4d72a	223888	released
97ab4e71-9ff4-487f-84e0-2b0e51e674bc	cf616767-082e-4a1e-a055-97c9dc5c434e.wxs.aliquot_ensemble_masked.maf.gz	d6cdcda313735f7def6db97cc43dc854	206607	released
f01c2ab4-75c7-4024-b864-f31410cdbe1d	0b2d400a-6098-4e3a-bcf5-f5b6b5c699b7.wxs.aliquot_ensemble_masked.maf.gz	5c7053d4a1c437433d4c1c57a8daf91d	78158	released
e6dad36a-24f2-4da1-a19d-3669a3a6846d	04542754-2042-46aa-a268-257103335245.wxs.aliquot_ensemble_masked.maf.gz	7b745a55fd72e7874fe31dbedf38ce95	509475	released
36477dc1-9ca7-409f-a418-aa1e27de6587	17631dd6-cb92-430f-adb7-179a8a739a37.wxs.aliquot_ensemble_masked.maf.gz	a99fc9fb2fd7cd77181cb9bca31adbdd	120975	released
eb860ae5-f342-414b-89d1-db6bd4d816a9	4001d062-2a29-4727-9625-9aea545ac80e.wxs.aliquot_ensemble_masked.maf.gz	26ae9f5ddf12b8831428aedc88387d01	155217	released
c27a5683-ace3-49e5-a552-09abd7b6d623	d3fc6748-1b29-4e06-a4c6-064c85af5372.wxs.aliquot_ensemble_masked.maf.gz	233b7a21049ba51d5efa1f9dcade7313	13995	released
20412dfe-dc42-4023-a10e-f8be26695927	66960da3-77be-48a5-a224-52863a450c75.wxs.aliquot_ensemble_masked.maf.gz	51e19942c4d6f621cbcda121f97932bd	149270	released
6d63e694-0052-48ea-9c78-41a9a9716b68	273bc057-fd4f-4f67-9dfe-78d5c7e4be38.wxs.aliquot_ensemble_masked.maf.gz	a3dbc39d3ff4c7cd6dd6347241e26ee8	160047	released
15784a44-ef5b-420c-a436-9b6839fbec7b	1d579634-137f-4f7e-b889-2cd3e035ef7d.wxs.aliquot_ensemble_masked.maf.gz	bb415f36e1a5dfd7eddecc0a795b2077	223450	released
d6ba8778-3b89-405f-895f-a74bf054e860	d0a38373-91be-43c9-9190-389c5229baaf.wxs.aliquot_ensemble_masked.maf.gz	fe96c19c447420ef9e6404aa4482e71d	20641	released
942067f0-37ff-4db9-b849-4f3ba7caf8a5	1ab9f653-c484-48a1-b98a-bdc1e88bb27b.wxs.aliquot_ensemble_masked.maf.gz	b3045e569490f6d964f081632e312838	67110	released
553315b7-e740-457e-a5c3-1e5101ff988c	ebcc7b4e-f618-44c7-92a3-a4cae0aa6b37.wxs.aliquot_ensemble_masked.maf.gz	ce82a37908fca10f82541fd1c7174001	102315	released
4871e0fc-e741-4c29-b04e-e1e1d4e06c1c	eef3b1bb-ef2f-4bac-b2ef-a2b2181e579b.wxs.aliquot_ensemble_masked.maf.gz	89aa3a78e99e65bbfc60b21aa0fd7397	62795	released
